,No.,Orig.Records,Duplicates,Modified,Dupe.Perc,Quality,,,,,,
1,1,267314,43446,67314,16.25279634,84,,,,,,
2,2,303544,78728,103544,25.93627283,74,,,,,,
3,3,330943,107117,130943,32.36720523,68,,,,,,
4,4,351386,129739,151386,36.9220743,63,,,,,,
5,5,366414,147571,166414,40.27438908,60,,,,,,
,,,,,,,,Mod 1,Mod 2,Mod 3,Mod 4,Mod 5
,,,,,,,Clone,4%,8%,12%,16%,20%
,,,,,,,Twins,0.25%,0.50%,0.75%,1%,1.25%
,,,,,,,Neighbors,0.04%,0.08%,0.12%,0.16%,0.20%
,,,,,,,Couples,15%,20%,25%,30%,35%
,,,,,,,Typo,0.045,0.08%,0.12%,0.16%,0.20%
,,,,,,,Others,0.04%,0.08%,0.12%,0.16%,0.20%
,,,,,,,Base Records #,200k,,,,
,,,,,,,Total,256623,279262,297159,351387,366415
