Day,Date,Parcels,Collections
3,1-Nov-2016,672278,49621
4,2-Nov-2016,939820,42549
5,3-Nov-2016,967938,41303
6,4-Nov-2016,960203,39232
7,5-Nov-2016,904946,29947
1,6-Nov-2016,108791,0
2,7-Nov-2016,892927,50710
3,8-Nov-2016,824837,52201
4,9-Nov-2016,1098069,43108
5,10-Nov-2016,1099112,40361
6,11-Nov-2016,1127552,46079
7,12-Nov-2016,1007186,32569
1,13-Nov-2016,99056,0
2,14-Nov-2016,987771,54917
3,15-Nov-2016,944561,52569
4,16-Nov-2016,1143194,45474
5,17-Nov-2016,1135254,25212
6,18-Nov-2016,1038232,56064
7,19-Nov-2016,1045578,34410
1,20-Nov-2016,115260,0
2,21-Nov-2016,1183629,57763
3,22-Nov-2016,893634,54945
4,23-Nov-2016,1298124,50143
5,24-Nov-2016,1324523,45017
6,25-Nov-2016,1328503,36992
7,26-Nov-2016,1335804,38373
1,27-Nov-2016,795021,0
2,28-Nov-2016,1617425,65896
3,29-Nov-2016,1187544,51120
4,30-Nov-2016,1408472,70617
5,1-Dec-2016,1165090,51171
6,2-Dec-2016,1362035,36113
7,3-Dec-2016,1475549,52562
1,4-Dec-2016,926814,0
2,5-Dec-2016,1292761,72575
3,6-Dec-2016,943640,69021
4,7-Dec-2016,1230024,43299
5,8-Dec-2016,1060362,46654
6,9-Dec-2016,1280632,63771
7,10-Dec-2016,1322970,39995
1,11-Dec-2016,140735,0
2,12-Dec-2016,1459582,76200
3,13-Dec-2016,1197755,71699
4,14-Dec-2016,1357814,62491
5,15-Dec-2016,1400848,54717
6,16-Dec-2016,1374999,53040
7,17-Dec-2016,1237205,35811
1,18-Dec-2016,135747,0
2,19-Dec-2016,1285160,63908
3,20-Dec-2016,866120,52358
4,21-Dec-2016,1157717,43024
5,22-Dec-2016,1192797,37427
6,23-Dec-2016,867757,32545
7,24-Dec-2016,495632,15482
3,27-Dec-2016,49,0
4,28-Dec-2016,1026888,46119
5,29-Dec-2016,955631,34746
6,30-Dec-2016,1132392,38062
7,31-Dec-2016,908953,24616
2,2-Jan-2017,80,0
3,3-Jan-2017,1286492,54398
4,4-Jan-2017,1036836,55954
5,5-Jan-2017,1064625,48829
6,6-Jan-2017,1055621,43989
7,7-Jan-2017,1038802,30264
1,8-Jan-2017,111796,0
2,9-Jan-2017,1045917,61716
3,10-Jan-2017,975581,47409
4,11-Jan-2017,983869,40906
5,12-Jan-2017,931696,37172
6,13-Jan-2017,905726,38241
7,14-Jan-2017,688530,28145
1,15-Jan-2017,103767,0
2,16-Jan-2017,813517,51745
3,17-Jan-2017,606073,46267
4,18-Jan-2017,773039,39462
5,19-Jan-2017,826485,37563
6,20-Jan-2017,769387,34231
7,21-Jan-2017,726689,24524
1,22-Jan-2017,101926,0
2,23-Jan-2017,767894,53261
3,24-Jan-2017,567859,47578
4,25-Jan-2017,784161,41555
5,26-Jan-2017,779163,32972
6,27-Jan-2017,1004432,36828
7,28-Jan-2017,909025,24868
1,29-Jan-2017,75486,0
