"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1152,0,0,400,2.12941384315491
"2",2,5000,27008,11,11,400,36.5986299514771
"3",3,10000,109321,73,74,400,1.91373518308004
"4",4,15000,245630,137,137,400,4.42820696830749
"5",5,20000,435736,267,267,400,7.81903444925944
"6",6,25000,679639,394,393,400,12.7904120008151
"7",7,30000,981850,548,547,400,18.1093722144763
"8",8,35000,1331860,738,742,400,24.5777239998182
"9",9,40000,1745155,956,960,400,32.6946996331215
"10",10,45000,2209369,1158,1159,400,41.9020346840223
