"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1058,2,2,755,6.72755289077759
"2",2,5000,26198,21,21,755,35.5868101119995
"3",3,10000,105762,108,108,755,1.90983501672745
"4",4,15000,237620,230,230,755,4.30673368374507
"5",5,20000,424056,375,375,755,7.8915585676829
"6",6,25000,663121,617,617,755,12.4890397349993
"7",7,30000,949593,870,871,755,18.0927709182103
"8",8,35000,1290829,1181,1181,755,25.1040368477503
"9",9,40000,1690328,1553,1553,755,32.6630138158798
"10",10,45000,2149235,2045,2046,755,41.174606013298
