"","No.","Sample.Count","Total.Pairs","Orig.Dupes","Ident.Dupes","Train.Count","Time.Taken"
"1",1,1000,1040,2,2,406,0.0465833226839701
"2",2,5000,26431,28,28,406,0.664086258411407
"3",3,10000,103616,103,103,406,2.20325226783752
"4",4,15000,235525,233,235,406,5.18607567946116
"5",5,20000,418553,449,446,406,9.91219341357549
"6",6,25000,652480,666,659,406,17.3881235202154
"7",7,30000,937484,1023,1023,406,21.0378993550936
"8",8,35000,1279275,1369,1359,406,32.0595263878504
"9",9,40000,1667016,1705,1705,406,38.1882473190625
"10",10,45000,2116510,2254,2252,406,47.6729633132617
