"id1","id2","X_firstname_","X_lastname_","X_email_","X_addr1_","X_addr2_","X_cityname_","X_postcode_","X_county_","X_nis_","X_b_year_","X_b_month_","X_b_day_","is_match"
39310,47545,0,0,0,0,0,0,0,0,0,1,1,1,"0"
29436,71516,0,0,0,0,0,0,0,1,0,1,1,1,"0"
71540,97912,0,0,0,0,0,0,1,0,0,1,1,1,"0"
18387,37988,0,0,0,0,0,0,1,0,1,1,1,1,"0"
1777,26368,0,0,0,0,0,0,1,1,0,1,1,1,"0"
34557,54947,0,0,0,0,0,0,1,1,1,1,1,1,"0"
11695,79471,0,0,0,0,0,1,0,0,0,1,1,1,"0"
73069,79247,0,0,0,0,0,1,0,1,0,1,1,1,"0"
36405,64481,0,0,0,0,0,1,1,0,0,1,1,1,"0"
10780,15383,0,0,0,0,0,1,1,0,1,1,1,1,"0"
12638,78215,0,0,0,0,1,0,0,0,0,1,1,1,"0"
35005,44031,0,0,0,0,1,0,0,1,0,1,1,1,"0"
23360,39158,0,0,0,0,1,0,1,0,0,1,1,1,"0"
21035,46074,0,0,0,1,0,0,0,0,0,1,1,1,"0"
24300,65576,0,0,0,1,0,0,0,1,0,1,1,1,"0"
35333,82304,0,0,0,1,0,0,1,0,0,1,1,1,"0"
77516,82273,0,0,0,1,0,0,1,0,1,1,1,1,"0"
31677,42337,0,0,0,1,0,1,0,0,0,1,1,1,"0"
21307,69208,0,0,1,0,0,0,0,0,0,1,1,1,"0"
43874,54328,0,0,1,0,0,0,0,1,0,1,1,1,"0"
51321,76436,0,0,1,0,0,0,1,0,0,1,1,1,"0"
45395,68539,0,0,1,0,0,1,0,0,0,1,1,1,"0"
32511,79348,0,1,0,0,0,0,0,0,0,0,0,0,"0"
36122,44024,0,1,0,0,0,0,0,0,0,0,0,1,"0"
81390,96694,0,1,0,0,0,0,0,0,0,0,1,0,"0"
32809,88205,0,1,0,0,0,0,0,0,0,0,1,1,"0"
67326,77071,0,1,0,0,0,0,0,0,0,1,0,0,"0"
54534,66076,0,1,0,0,0,0,0,0,0,1,0,1,"0"
23634,54438,0,1,0,0,0,0,0,0,0,1,1,0,"0"
13997,27759,0,1,0,0,0,0,0,0,0,1,1,1,"0"
19502,24855,0,1,0,0,0,0,0,0,0,NA,NA,NA,"0"
33371,73558,0,1,0,0,0,0,0,1,0,0,0,0,"0"
684,74837,0,1,0,0,0,0,0,1,0,0,0,1,"0"
37270,71765,0,1,0,0,0,0,0,1,0,0,1,0,"0"
74361,93255,0,1,0,0,0,0,0,1,0,0,1,1,"0"
884,38542,0,1,0,0,0,0,0,1,0,1,0,0,"0"
12493,33851,0,1,0,0,0,0,0,1,0,1,0,1,"0"
11253,31948,0,1,0,0,0,0,0,1,0,1,1,0,"0"
18077,92011,0,1,0,0,0,0,0,1,0,NA,NA,NA,"0"
10244,27259,0,1,0,0,0,0,1,0,0,0,0,0,"0"
38652,83963,0,1,0,0,0,0,1,0,0,0,0,1,"0"
12653,66942,0,1,0,0,0,0,1,0,0,0,1,0,"0"
35848,41553,0,1,0,0,0,0,1,0,0,0,1,1,"0"
36056,64528,0,1,0,0,0,0,1,0,0,1,0,0,"0"
23860,54021,0,1,0,0,0,0,1,0,0,1,0,1,"0"
31726,75679,0,1,0,0,0,0,1,0,0,1,1,0,"0"
33936,85318,0,1,0,0,0,0,1,0,0,NA,NA,NA,"0"
5282,72451,0,1,0,0,0,0,1,0,1,0,0,0,"0"
27755,76524,0,1,0,0,0,0,1,0,1,0,0,1,"0"
20192,43092,0,1,0,0,0,0,1,0,1,0,1,0,"0"
24243,30817,0,1,0,0,0,0,1,0,1,0,1,1,"0"
40198,55496,0,1,0,0,0,0,1,0,1,1,0,0,"0"
79466,93976,0,1,0,0,0,0,1,0,1,1,0,1,"0"
21763,27482,0,1,0,0,0,0,1,0,1,1,1,0,"0"
6566,24967,0,1,0,0,0,0,1,0,1,1,1,1,"0"
23166,96733,0,1,0,0,0,0,1,1,0,0,0,0,"0"
84347,86288,0,1,0,0,0,0,1,1,0,0,0,1,"0"
83229,88210,0,1,0,0,0,0,1,1,0,0,1,0,"0"
47105,95376,0,1,0,0,0,0,1,1,0,0,1,1,"0"
19466,55277,0,1,0,0,0,0,1,1,0,1,0,0,"0"
3696,50900,0,1,0,0,0,0,1,1,0,1,0,1,"0"
27945,36218,0,1,0,0,0,0,1,1,0,1,1,0,"0"
41717,89162,0,1,0,0,0,0,1,1,0,1,1,1,"0"
39522,44763,0,1,0,0,0,0,1,1,1,0,0,0,"0"
4809,79490,0,1,0,0,0,0,1,1,1,0,0,1,"0"
23755,77017,0,1,0,0,0,0,1,1,1,0,1,0,"0"
50505,72156,0,1,0,0,0,0,1,1,1,1,0,0,"0"
39657,58036,0,1,0,0,0,1,0,0,0,0,0,0,"0"
27386,36560,0,1,0,0,0,1,0,0,0,0,0,1,"0"
2841,37513,0,1,0,0,0,1,0,0,0,0,1,0,"0"
79463,79496,0,1,0,0,0,1,0,0,0,0,1,1,"0"
44043,53648,0,1,0,0,0,1,0,0,0,1,0,0,"0"
68346,75175,0,1,0,0,0,1,0,0,0,1,0,1,"0"
19187,26956,0,1,0,0,0,1,0,0,0,1,1,0,"0"
4679,10193,0,1,0,0,0,1,0,0,0,NA,NA,NA,"0"
79890,82120,0,1,0,0,0,1,0,1,0,0,0,0,"0"
11771,29218,0,1,0,0,0,1,0,1,0,0,0,1,"0"
23600,38417,0,1,0,0,0,1,0,1,0,0,1,0,"0"
20984,56128,0,1,0,0,0,1,0,1,0,0,1,1,"0"
4679,6097,0,1,0,0,0,1,0,1,0,NA,NA,NA,"0"
43204,82373,0,1,0,0,0,1,0,1,1,0,0,0,"0"
16842,50672,0,1,0,0,0,1,1,0,0,0,0,0,"0"
35047,44548,0,1,0,0,0,1,1,0,0,0,0,1,"0"
30129,77287,0,1,0,0,0,1,1,0,0,0,1,0,"0"
27611,84941,0,1,0,0,0,1,1,0,0,1,0,0,"0"
31445,39359,0,1,0,0,0,1,1,0,1,0,0,0,"0"
30213,45687,0,1,0,0,0,1,1,0,1,0,1,0,"0"
78712,90197,0,1,0,0,0,1,1,0,1,1,0,0,"0"
28168,92630,0,1,0,0,0,1,1,1,0,0,0,0,"0"
12797,15857,0,1,0,0,0,1,1,1,0,0,1,0,"0"
3976,57966,0,1,0,0,0,1,1,1,1,0,0,0,"0"
50319,62611,0,1,0,0,0,1,1,1,1,1,0,0,"0"
10475,93840,0,1,0,0,1,0,0,0,0,0,0,0,"0"
2621,57337,0,1,0,0,1,0,0,0,0,0,0,1,"0"
23742,42681,0,1,0,0,1,0,0,0,0,0,1,0,"0"
64373,69802,0,1,0,0,1,0,0,0,0,0,1,1,"0"
42563,81222,0,1,0,0,1,0,0,0,0,1,0,0,"0"
3659,17685,0,1,0,0,1,0,0,0,0,1,0,1,"0"
4758,77531,0,1,0,0,1,0,0,0,0,NA,NA,NA,"0"
2894,48436,0,1,0,0,1,0,0,1,0,0,0,0,"0"
40517,73678,0,1,0,0,1,0,0,1,0,0,0,1,"0"
12256,24647,0,1,0,0,1,0,0,1,0,0,1,0,"0"
65226,99143,0,1,0,0,1,0,0,1,0,0,1,1,"0"
53157,73479,0,1,0,0,1,0,0,1,0,NA,NA,NA,"0"
8956,91335,0,1,0,0,1,0,1,0,0,0,0,0,"0"
77432,93188,0,1,0,0,1,0,1,0,0,0,0,1,"0"
17533,97259,0,1,0,0,1,0,1,0,0,0,1,0,"0"
2692,17533,0,1,0,0,1,0,1,0,0,1,0,0,"0"
38222,74542,0,1,0,0,1,0,1,0,0,NA,NA,NA,"0"
7756,67160,0,1,0,0,1,0,1,0,1,0,0,0,"0"
68748,99541,0,1,0,0,1,0,1,0,1,0,1,0,"0"
5319,73546,0,1,0,0,1,0,1,0,1,1,0,0,"0"
66873,76122,0,1,0,0,1,0,1,1,0,0,0,0,"0"
33999,97259,0,1,0,0,1,0,1,1,0,0,1,0,"0"
11755,65216,0,1,0,0,1,0,1,1,0,1,1,1,"0"
2727,49762,0,1,0,0,1,0,1,1,1,0,0,0,"0"
17607,36767,0,1,0,0,1,0,1,1,1,0,0,1,"0"
12995,35446,0,1,0,0,1,0,1,1,1,0,1,0,"0"
29334,50893,0,1,0,0,1,1,0,0,0,0,0,0,"0"
50465,66632,0,1,0,0,1,1,0,0,1,0,0,0,"0"
51436,60466,0,1,0,0,1,1,0,1,1,0,0,0,"0"
18099,40157,0,1,0,0,1,1,1,0,1,0,0,0,"0"
